Farm_ID,Crop_Type,Farm_Location,Nitrogen_Percent,Phosphorus_ppm,Potassium_ppm,Soil_pH,Rainfall_mm,Yield_kg_per_ha,Planting_Date,Harvest_Date
GH-00354,Soybean,Greater Accra,1.85,38.5,247.6,5.33,958.0,2086.0,2023-07-27,2023-11-30
GH-01285,Groundnut,Brong Ahafo,3.41,7.5,236.7,6.97,1310.0,1037.0,2022-11-05,2023-03-07
GH-01275,Groundnut,Central,1.36,20.8,244.1,5.12,1227.2,1767.6,2023-04-02,2023-08-05
GH-01855,Soybean,Ashanti,2.69,7.2,274.1,6.3,1843.3,1906.1,2023-06-29,2023-10-01
GH-00232,,Greater Accra,1.26,13.7,81.1,6.1,878.4,1034.5,2022-08-07,2023-05-22
GH-00596,Cocoa,Ashanti,2.93,33.2,239.4,6.16,1513.7,692.3,2022-03-08,2022-09-11
GH-01066,Cassava,Upper East,0.87,19.8,260.5,7.11,1078.4,10163.0,2023-11-06,2024-10-17
GH-00564,Groundnut,Upper East,2.86,36.3,234.3,6.17,914.4,1995.7,2022-11-25,2023-03-17
GH-01364,,Ashanti,1.76,10.2,240.8,7.43,1284.1,10065.0,2022-07-05,2022-11-03
GH-00022,Yam,Volta,2.19,29.6,155.7,6.03,1364.5,12917.3,2022-04-08,2023-01-13
GH-00024,Soybean,Upper West,2.22,44.2,126.4,4.81,1049.3,2297.8,2022-03-01,2022-07-21
GH-01098,Plantain,Upper West,1.76,42.5,,6.8,1165.5,10712.1,2023-04-01,2023-07-10
GH-01437,Plantain,Northern,0.59,36.4,248.5,6.35,1143.7,6907.7,2023-05-29,2023-09-06
GH-00670,Groundnut,Upper East,2.52,23.1,69.9,6.86,941.6,1964.2,2023-05-29,2023-10-19
GH-01605,Cocoa,Western,1.2,5.1,,6.29,1801.5,517.5,2023-03-23,2023-12-04
GH-00339,Cocoa,Upper West,0.56,13.6,161.4,4.94,1190.8,628.7,2022-12-17,2023-09-09
GH-00130,Cocoa,Upper West,3.2,29.9,246.6,6.37,949.7,987.5,2023-12-17,2024-07-15
GH-01134,Groundnut,Northern,1.32,15.7,251.6,5.87,1019.5,969.4,2022-06-06,2022-09-22
GH-01865,Cocoa,Eastern,2.36,36.1,221.4,5.88,1713.3,691.1,2023-07-19,2024-05-02
GH-01427,Groundnut,Eastern,2.87,48.3,197.3,6.27,1653.3,1806.5,2023-01-21,2023-05-29
GH-01254,Rice,Upper West,1.17,44.7,79.6,4.63,1180.6,4765.7,2023-03-14,2023-07-06
GH-00160,Cocoa,Central,2.67,35.2,93.9,5.14,1015.3,936.8,2023-07-28,2024-02-17
GH-01527,,Upper East,3.48,22.3,296.2,6.43,930.9,1676.3,2022-12-14,2022-08-22
GH-01601,Soybean,Western,2.8,46.4,195.6,7.46,2008.3,2109.5,2023-01-06,2023-04-28
GH-00744,Yam,Western,2.82,33.1,85.7,5.53,2050.1,8972.5,2023-08-21,2024-03-25
GH-01781,Plantain,Northern,1.31,31.2,119.3,4.66,1129.7,,2023-02-12,2023-07-03
GH-01380,Rice,Central,0.9,13.2,138.0,5.91,1200.7,3184.6,2023-04-27,2023-09-13
GH-00282,,Volta,1.11,28.7,171.4,7.24,1162.0,899.7,2022-09-29,2023-07-01
GH-01037,Soybean,Central,2.16,44.1,271.6,5.38,1072.5,2684.9,2023-02-16,2023-06-27
GH-00268,Soybean,Volta,2.66,30.3,108.5,6.97,1173.0,1251.5,2023-10-12,2024-04-16
GH-01568,Cocoa,Upper East,2.5,45.0,284.4,6.06,1060.6,1117.9,2023-09-24,2024-04-02
GH-00643,Soybean,Ashanti,3.46,27.9,238.4,4.88,1753.2,2321.5,2022-11-07,2023-03-05
GH-00712,Rice,Upper East,2.62,27.9,170.0,7.14,1097.5,3392.8,2022-02-25,2022-07-06
GH-01841,Rice,Volta,2.44,22.0,133.5,5.67,1150.2,3298.3,2023-05-04,2023-08-26
GH-01941,Groundnut,Greater Accra,0.7,27.5,121.3,4.51,1047.8,1190.0,2023-03-30,2023-07-20
GH-01361,Plantain,Central,0.61,45.5,270.0,6.67,1044.0,12415.4,2023-12-04,2024-04-22
GH-01564,Rice,Northern,3.2,27.2,193.0,5.87,1087.6,4100.5,2022-02-24,2022-06-09
GH-00819,,Upper West,1.72,42.0,222.0,7.19,926.4,457.2,2022-07-24,2023-01-31
GH-00346,Groundnut,Upper West,3.35,40.8,184.4,4.84,997.1,2155.0,2023-11-27,2024-03-17
GH-01836,Rice,Northern,0.84,16.3,61.6,7.5,1009.5,3365.3,2022-11-26,2023-04-04
GH-01511,Groundnut,Upper East,1.69,15.5,157.0,6.12,1069.9,1291.9,2023-05-31,2023-10-13
GH-00428,Cocoa,Northern Region,,36.3,225.1,4.8,1105.9,905.1,2023-01-31,2023-10-29
GH-00981,,Ashanti,2.07,16.5,283.1,4.97,1961.0,,2022-02-19,2022-11-28
GH-01565,Cassava,ASH,2.16,46.5,170.0,6.93,1552.3,16085.2,2022-10-04,2023-09-05
GH-01555,Cocoa,Western,3.17,35.3,218.1,5.03,1754.0,407.8,2022-03-17,2022-12-24
GH-00337,Yam,Ashanti,1.74,33.1,89.7,4.82,1688.5,12640.0,2023-02-18,2023-08-22
GH-00087,Plantain,Upper East,1.23,43.9,54.4,7.15,928.6,13877.1,2023-04-13,2023-07-17
GH-00633,Yam,Brong Ahafo,2.25,5.7,135.8,5.27,1290.9,9734.5,2022-07-15,2023-05-04
GH-01769,Groundnut,Ashanti,2.13,,226.0,5.49,1623.0,1094.3,2023-09-15,2024-02-01
GH-00708,Soybean,Northern,1.84,30.6,217.5,4.69,1096.8,1422.3,2022-06-25,2022-10-02
GH-00319,Groundnut,Greater Accra,2.7,18.6,144.9,6.99,1087.6,1214.7,2023-07-15,2023-10-21
GH-00741,Groundnut,Ashanti,1.27,16.6,280.5,5.02,1368.2,2126.7,2024-02-01,2023-10-13
GH-00330,Soybean,Central,3.5,27.5,214.0,4.52,1053.4,1720.7,2022-06-26,2022-10-01
GH-00928,Cocoa,Upper West,0.72,41.3,282.8,5.35,1113.8,,2023-01-14,2023-10-17
GH-00636,Rice,Eastern,1.43,8.5,241.2,6.77,1578.8,2437.0,2022-08-13,2023-01-01
GH-01461,Yam,Greater Accra,1.26,41.2,95.8,5.06,984.1,11583.3,2023-03-31,2023-11-14
GH-01039,Maize,Greater Accra,1.38,23.1,270.7,5.33,800.8,,2023-09-17,2024-01-25
GH-01881,Plantain,Northern,2.27,33.0,180.6,5.48,1064.6,13052.8,2023-11-04,2023-08-10
GH-00058,Maize,Upper West,3.08,9.0,157.2,4.84,1049.0,4325.6,2023-09-11,2024-01-18
GH-01658,Cassava,Central,1.0,10.2,111.8,7.27,1003.9,19463.4,2023-08-15,2024-08-19
GH-01542,Groundnut,Upper East,3.21,10.0,222.7,6.54,1060.9,1238.6,2023-02-19,2023-06-12
GH-00494,Plantain,Brong Ahafo,2.13,40.6,298.6,5.64,1306.6,7743.8,2022-11-07,2023-03-29
GH-01870,Rice,Greater Accra,3.48,43.3,75.3,7.33,1075.5,,2022-09-13,2023-01-21
GH-01289,Cocoa,Upper West,0.65,24.9,173.5,6.64,1154.9,969.2,2023-02-07,2023-08-27
GH-01481,Cassava,Eastern,1.63,44.5,,6.4,1581.0,11842.5,2022-09-27,2023-06-21
GH-01051,Rice,Upper East,2.78,24.8,80.0,7.0,1005.3,3012.7,2023-05-13,2023-09-27
GH-00034,Rice,Eastern,3.29,16.0,159.5,5.9,1539.6,,2022-06-12,2022-10-12
GH-00030,Cocoa,Central,2.53,19.8,121.5,6.9,1151.7,432.0,2022-11-24,2023-06-13
GH-00737,Cocoa,Eastern,2.49,44.1,64.1,6.09,1711.8,430.9,2022-06-05,2023-03-26
GH-00033,Cocoa,Brong Ahafo,2.19,15.4,235.8,5.79,1246.6,463.1,2023-09-29,2024-06-28
GH-01075,Maize,Greater Accra,1.51,47.8,93.7,6.05,,4493.5,2022-05-27,2022-09-29
GH-00942,Yam,Northern,1.56,28.6,256.7,6.31,1082.0,10576.4,2022-11-05,2023-07-28
GH-01972,Yam,Upper East,3.21,34.5,128.6,5.68,1080.1,9156.5,2023-01-19,2022-04-08
GH-00746,Rice,Ashanti,2.12,35.6,257.4,7.15,1632.5,2166.0,2023-07-26,2023-11-24
GH-00910,Plantain,Brong Ahafo,2.31,10.6,220.4,5.04,1132.8,11668.4,2023-04-12,2023-07-28
GH-00659,Cocoa,Greater Accra,1.82,49.9,148.7,6.92,1222.3,1117.2,2023-06-17,2024-01-12
GH-00638,Groundnut,Central,,31.3,271.9,4.67,1279.2,1152.7,2022-04-12,2022-07-11
GH-00183,Plantain,Central,1.94,11.2,197.0,6.81,1221.3,7063.4,2022-01-23,2022-06-21
GH-01252,Plantain,Western,3.28,12.8,58.3,6.37,2081.9,6354.6,2023-07-10,2023-10-08
GH-01117,Groundnut,Eastern,1.54,35.8,,5.77,1530.5,1328.8,2023-08-10,2023-11-18
GH-01853,Plantain,Western,2.93,18.0,110.5,4.64,1751.8,6681.9,2022-11-15,2023-03-25
GH-01373,Soybean,Brong Ahafo,1.59,14.7,284.0,5.41,1233.1,2233.3,2022-03-06,2022-07-21
GH-00401,Soybean,Greater Accra,2.53,,163.9,6.87,1151.4,1061.0,2022-04-07,2022-08-18
GH-01202,Rice,Volta,3.12,20.5,220.2,5.48,1269.3,4236.8,2023-12-22,2024-04-04
GH-01065,Plantain,Ashanti,2.82,20.4,231.5,5.7,1653.9,7201.0,2022-02-07,2022-05-13
GH-00107,Plantain,Central,2.23,44.1,106.8,6.85,1131.8,5457.0,2023-05-05,2023-09-26
GH-00355,Soybean,Upper East,0.98,25.1,110.7,5.7,952.1,1056.4,2022-01-16,2022-06-07
GH-00966,Maize,Upper East,2.65,25.9,207.7,6.25,924.6,3713.7,2023-11-14,2024-03-23
GH-00045,Cocoa,Volta,1.31,18.0,106.7,5.64,1167.8,1181.6,2023-05-16,2023-12-06
GH-00321,Soybean,Central,1.75,14.1,,7.42,1030.1,1676.6,2022-03-03,2022-06-02
GH-01294,Maize,Northern,0.77,5.0,192.8,5.15,1090.0,,2023-01-04,2023-04-29
GH-01110,Cassava,Upper East,2.02,44.5,135.1,7.4,976.4,11192.6,2022-04-27,2023-04-25
GH-01700,Soybean,Northern,3.14,18.2,257.5,6.85,1105.3,,2023-10-30,2024-02-17
GH-01466,Plantain,Eastern,2.84,47.1,158.4,4.86,1354.2,13913.4,2023-11-29,2024-04-10
GH-00698,Rice,Volta,2.73,7.1,210.7,5.83,1341.3,2187.3,2023-10-20,2024-03-13
GH-00404,Maize,Ashanti,2.95,19.7,109.1,4.64,1691.1,3216.2,2022-06-02,2022-10-17
GH-01908,Maize,Central,1.75,6.6,216.3,4.69,1352.7,2346.2,2023-02-13,2023-06-27
GH-01142,Maize,Greater Accra,2.44,,231.7,6.37,1190.0,,2022-04-06,2022-08-27
GH-01349,Soybean,Central,2.91,36.6,276.1,4.77,1185.0,2337.1,2022-02-15,2022-06-27
GH-01815,Cocoa,Upper West,2.52,,136.0,6.19,1069.6,981.0,2023-05-31,2023-11-30
GH-00016,Yam,Upper West,1.52,45.6,201.4,5.77,976.9,7205.9,2023-12-11,2024-08-13
GH-00716,Soybean,Western,1.55,47.5,242.7,6.64,1678.4,2345.4,2023-07-27,2023-10-30
GH-00872,Soybean,Eastern,1.86,38.6,258.3,5.35,1572.5,1093.6,2022-03-09,2022-07-30
GH-00391,Cassava,Brong Ahafo,1.79,47.2,60.1,7.01,1139.2,18797.3,2022-10-09,2023-07-10
GH-01114,Groundnut,Brong Ahafo,1.87,32.6,73.0,4.92,1159.0,2392.8,2023-10-12,2024-02-19
GH-01563,,Volta,2.97,35.0,219.5,4.89,,932.6,2022-02-23,2022-09-05
GH-01274,Cassava,Eastern,1.15,13.0,199.9,6.81,1608.2,11869.3,2022-05-11,2023-02-08
GH-01154,,Eastern,1.57,10.9,82.2,7.02,1607.6,2977.2,2022-06-10,2022-10-30
GH-00141,Soybean,Central,2.45,15.9,94.5,5.84,1391.6,2321.5,2022-11-24,2023-03-27
GH-01645,Maize,Ashanti,2.38,14.7,132.0,5.32,1952.0,2126.7,2023-10-18,2024-03-10
GH-01094,Groundnut,Western,2.75,16.4,192.4,5.32,1940.4,2267.3,2022-12-01,2023-03-17
GH-01470,Maize,Central,0.68,32.2,52.5,5.23,1337.1,2399.7,2022-05-28,2022-10-13
GH-01515,Cocoa,Greater Accra,0.57,38.1,81.4,6.17,1161.2,788.8,2023-07-22,2024-04-20
GH-00714,Cocoa,Brong Ahafo,1.61,40.3,,5.31,1340.7,512.8,2023-09-22,2024-06-13
GH-01655,Rice,Central,2.95,,250.8,5.47,1325.3,4671.7,2022-06-13,2022-09-13
GH-01298,Maize,Upper East,1.69,8.7,226.9,6.74,1059.1,4186.2,2023-07-15,2023-10-17
GH-00318,Maize,Central,1.43,37.8,212.1,4.56,1127.0,3794.0,2023-06-12,2023-09-20
GH-00518,Plantain,Western,2.46,28.3,89.6,4.63,1754.1,9792.8,2023-05-27,2023-10-10
GH-01536,Rice,Central,3.27,44.6,190.3,4.82,1158.9,2856.9,2022-06-02,2022-09-24
GH-00015,Soybean,Upper East,1.9,40.5,71.7,5.49,,1313.5,2022-10-06,2023-02-21
GH-01151,Yam,Volta,1.25,26.0,61.6,6.51,1357.0,11393.8,2022-06-23,2023-02-21
GH-00363,Maize,Brong Ahafo,0.59,34.8,143.8,5.52,1349.3,3101.2,2023-04-14,2023-07-21
GH-00892,Groundnut,Northern,2.61,30.6,289.5,5.8,1086.0,1209.8,2022-09-23,2023-01-02
GH-01873,Cassava,Western,2.22,47.6,291.0,4.66,1954.0,8428.9,2023-11-07,2025-04-26
GH-00055,Groundnut,Upper East,2.4,43.7,99.5,6.8,972.5,918.2,2023-07-05,2023-11-03
GH-00889,Cocoa,Western,2.72,43.3,112.4,4.82,2033.5,489.0,2022-05-22,2022-12-01
GH-01748,Maize,Volta,1.1,41.3,53.1,6.99,1345.9,3629.5,2023-02-22,2023-06-07
GH-00450,,Central,2.25,16.2,222.1,5.97,1155.6,6748.4,2022-04-24,2022-09-17
GH-01023,Rice,Brong Ahafo,1.51,35.2,290.4,7.26,1309.9,,2023-01-21,2023-06-05
GH-00859,Rice,Eastern,3.28,,73.5,4.72,1574.1,2196.8,2023-01-17,2023-04-23
GH-01471,Yam,Central,1.36,28.7,109.5,7.13,1200.7,8181.9,2023-12-16,2024-08-05
GH-01665,Cassava,Central,1.86,26.3,174.4,5.41,1316.4,,2022-06-12,2024-03-05
GH-00099,Plantain,Western,0.62,25.8,170.6,4.52,2027.1,6184.0,2022-03-24,2022-07-30
GH-00926,Cassava,Upper West,0.67,,214.4,7.4,1052.2,19969.0,2022-02-22,2023-04-04
GH-00525,Rice,Eastern,0.73,9.3,243.2,5.69,1728.3,2440.4,2022-03-19,2022-06-18
GH-01948,Rice,Brong Ahafo,,28.4,198.7,5.43,1188.9,4539.7,2023-05-22,2023-09-17
GH-00565,Cocoa,Ashanti,2.3,47.5,67.5,4.82,,639.3,2023-02-20,2023-12-14
GH-00413,Plantain,Brong Ahafo,0.99,17.3,219.0,4.86,1398.1,14947.0,2023-09-03,2023-12-07
GH-00138,Maize,Northern,3.47,,,7.43,1119.8,4391.3,2022-11-02,2023-03-28
GH-00705,Yam,Ashanti,1.19,30.3,207.6,6.87,1337.3,,2023-04-13,2023-12-16
GH-01818,Groundnut,Volta,1.49,10.7,240.3,5.39,1160.3,1553.6,2022-04-24,2022-09-15
GH-00855,Groundnut,Ashanti,3.0,37.2,273.2,7.16,1450.5,806.1,2023-03-23,2023-07-09
GH-00032,Maize,Western,,35.1,136.4,5.28,1533.3,3297.9,2023-12-03,2024-04-22
GH-00733,Maize,Eastern,0.54,21.1,74.5,7.21,1284.2,3996.8,2023-06-20,2023-01-22
GH-00132,Yam,Upper West,3.31,17.7,187.4,5.14,1057.3,8655.4,2023-08-07,2024-04-14
GH-01881,Plantain,Northern,2.27,33.0,180.6,5.48,1064.6,13052.8,2023-04-11,2023-08-10
GH-00523,Plantain,Eastern,1.57,,225.3,6.15,1724.9,11848.5,2023-08-18,2023-11-20
GH-00451,Plantain,Western,1.11,23.4,246.3,6.05,1794.2,13344.2,2023-02-22,2023-06-24
GH-00447,Cassava,Greater Accra,3.44,19.8,54.5,5.77,848.7,12404.7,2022-12-01,2023-10-10
GH-00046,Cocoa,Central,,40.2,200.5,5.75,1242.5,618.3,2022-06-26,2023-02-21
GH-00536,Plantain,Volta,1.98,38.8,188.5,6.57,1297.0,10739.1,2023-08-02,2023-11-05
GH-00140,Maize,Greater Accra,2.09,18.8,227.2,5.94,1021.4,3210.4,2022-08-12,2022-12-14
GH-00128,Maize,Northern,1.12,43.8,58.8,7.33,1040.2,1594.7,2022-03-03,2022-06-28
GH-01716,Soybean,Volta,,26.8,210.0,7.24,1351.9,2014.8,2023-05-29,2023-09-10
GH-01703,Groundnut,Volta,1.61,21.7,,5.25,1381.7,2115.8,2022-02-12,2023-03-13
GH-00894,Yam,Upper East,1.19,25.6,283.3,6.41,1044.6,17334.7,2023-01-16,2023-08-06
GH-01915,Soybean,Central,2.22,14.3,271.0,6.92,1187.0,2517.3,2023-08-31,2023-12-27
GH-01859,Groundnut,Upper West,1.04,32.0,278.0,5.37,1067.9,1704.4,2023-12-24,2024-05-08
GH-01653,Rice,Northern,2.24,9.1,147.7,7.02,1001.4,3539.6,2023-02-24,2023-07-22
GH-01996,Maize,Accra,2.68,36.3,234.2,6.28,977.6,4293.9,2023-12-04,2024-04-07
GH-01840,Maize,Central,2.38,35.0,98.0,6.7,1184.0,2012.7,2022-05-16,2022-09-12
GH-01501,Cassava,Brong Ahafo,,25.8,152.3,5.3,1202.0,16423.4,2022-07-30,2023-08-10
GH-00970,Cassava,Upper West,1.54,49.9,135.5,4.53,,19446.7,2022-12-24,2024-05-12
GH-01556,Yam,Ashanti,0.54,12.8,99.2,5.93,1942.5,8970.7,2023-04-17,2024-02-02
GH-01794,Groundnut,Eastern,2.97,24.2,289.1,5.24,1520.5,2118.4,2022-04-13,2022-08-16
GH-01991,Cocoa,Brong Ahafo,0.66,37.4,244.0,5.46,1305.3,738.4,2022-03-02,2022-10-01
GH-00049,Plantain,Western,0.81,31.9,174.4,5.99,1674.5,7409.6,2023-10-15,2024-01-26
GH-01109,Plantain,Brong Ahafo,2.3,16.7,248.9,6.01,1199.8,12574.8,2022-10-31,2023-03-27
GH-00217,Cocoa,Upper East,2.84,14.6,216.6,4.61,951.2,717.3,2024-05-12,2023-08-16
GH-00529,Rice,Central,1.15,29.6,,7.18,1444.4,3085.4,2023-03-16,2023-08-01
GH-01499,Cassava,Greater Accra,0.88,46.3,130.0,7.4,1203.9,13808.6,2023-12-30,2024-10-11
GH-00216,Yam,Upper West,1.87,26.7,63.6,4.76,1006.9,7207.0,2022-02-25,2022-09-02
GH-01523,Maize,Northern,3.05,37.8,,7.37,1125.6,2026.2,2022-07-28,2022-12-13
GH-00010,Rice,Central,2.85,39.4,114.6,6.39,,3591.0,2023-08-08,2024-01-01
GH-01188,Maize,Brong Ahafo,1.26,7.1,121.7,4.66,,3805.6,2022-08-14,2022-11-14
GH-00589,Cocoa,Ashanti,,25.0,169.5,5.88,1494.4,668.8,2022-10-05,2023-05-08
GH-00197,Rice,Upper West,1.16,36.9,76.6,6.38,1112.2,3802.0,2022-04-06,2022-09-01
GH-00297,Plantain,Eastern,1.56,21.2,258.7,7.05,1671.4,12151.0,2022-03-27,2022-07-31
GH-00480,Cocoa,Upper East,1.02,13.1,64.6,6.66,902.7,1183.3,2022-11-18,2023-07-06
GH-01474,Rice,Upper East,,39.8,110.2,6.96,1094.5,3583.5,2022-12-24,2023-04-04
GH-00947,Yam,Volta,2.83,10.8,154.5,6.86,1029.2,17092.5,2022-06-23,2023-03-14
GH-01710,Plantain,Upper East,1.45,27.7,241.1,4.51,1077.8,13928.3,2023-11-29,2024-03-11
GH-00182,Groundnut,Northern,3.09,47.8,128.2,5.34,1024.6,1844.0,2023-10-27,2024-02-25
GH-00200,Cassava,Western,1.03,35.3,113.7,4.57,1902.9,16999.9,2022-10-01,2023-10-19
GH-01486,Groundnut,Northern,1.47,19.8,244.4,5.54,1083.1,1049.5,2022-01-01,2022-04-04
GH-00002,Cocoa,Northern,0.98,22.9,242.3,5.6,1102.0,1020.2,2022-11-17,2023-08-08
GH-00484,Plantain,Volta,1.14,,52.2,6.62,1024.5,,2023-11-01,2024-03-01
GH-00590,Yam,Upper West,1.26,,167.8,7.48,971.3,6805.3,2022-01-16,2022-08-09
GH-00131,Cocoa,Ashanti,2.63,28.1,,6.5,1798.5,496.7,2022-05-13,2022-12-11
GH-00743,Rice,Upper East,1.8,40.7,290.1,6.59,1048.6,2918.4,2023-12-22,2024-04-06
GH-01835,Cocoa,Upper West,2.26,38.1,228.2,7.17,956.6,670.8,2022-05-16,2023-01-24
GH-01678,Cassava,Volta,1.29,42.6,271.4,5.99,1016.4,16385.1,2023-09-01,2024-07-04
GH-00813,Maize,Upper East,2.21,12.2,67.8,6.29,1069.1,,2022-05-16,2022-08-26
GH-00195,Groundnut,Northern,3.36,42.8,133.2,7.39,1065.0,2460.8,2023-08-04,2023-12-16
GH-01450,Cocoa,Ashanti,2.36,43.4,251.4,4.85,1798.0,1147.2,2023-03-15,2024-01-02
GH-01107,Yam,Northern,1.39,42.5,190.1,6.52,1083.5,11162.4,2023-06-25,2024-03-29
GH-00524,Groundnut,Western,0.55,12.6,78.3,5.25,1568.9,2385.2,2023-04-05,2023-08-10
GH-01444,Cassava,Greater Accra,2.02,23.8,63.2,6.06,884.5,13390.8,2023-04-01,2024-04-30
GH-00951,Cassava,Eastern,0.8,33.0,109.6,5.75,,9575.4,2023-10-17,2024-08-22
GH-01964,Rice,Central,2.71,44.7,216.0,5.5,1378.0,3375.2,2022-09-10,2022-12-24
GH-00343,Cassava,Greater Accra,2.39,24.4,239.3,5.6,1020.8,14362.3,2023-03-26,2023-12-07
GH-00490,Yam,Central,0.65,42.3,197.5,6.38,1235.1,10298.9,2023-02-04,2023-09-29
GH-01931,Soybean,Upper East,1.39,38.1,182.5,5.84,1096.1,2048.3,2023-01-06,2023-06-01
GH-01622,,Northern,1.32,30.5,294.7,5.0,1101.7,3885.9,2023-09-18,2023-12-28
GH-00296,Cocoa,Eastern,2.82,37.6,169.3,5.02,1595.3,729.2,2023-05-03,2023-11-21
GH-01954,Cocoa,Greater Accra,1.38,38.8,292.3,5.65,1142.1,852.1,2023-12-07,2024-07-04
GH-01676,Yam,Eastern,1.09,34.9,173.7,6.84,1668.9,15245.3,2022-03-20,2022-11-25
GH-01787,Cocoa,Upper West,2.06,34.1,66.7,5.8,977.9,565.3,2022-02-18,2022-08-22
GH-00374,Soybean,Upper West,,41.3,78.1,6.15,942.1,2702.0,2023-04-24,2023-07-23
GH-00665,,Western,2.82,14.9,131.4,6.82,1992.6,2743.1,2022-04-17,2022-09-06
GH-00187,Rice,Volta,3.48,7.8,199.7,4.99,1127.0,2000.4,2022-06-09,2022-11-01
GH-01673,Soybean,Brong Ahafo,1.74,45.5,253.9,5.58,,1819.1,2023-10-02,2024-02-02
GH-01775,Groundnut,Central,1.23,32.7,169.0,7.41,1424.7,2395.0,2023-04-06,2023-08-17
GH-01986,,Eastern,1.62,46.1,128.2,7.18,1440.7,6118.5,2022-02-01,2022-05-07
GH-01540,Yam,Central,0.63,33.7,127.6,6.38,1114.9,10439.6,2022-06-01,2022-12-31
GH-00427,Maize,Upper West,2.53,16.9,264.7,6.1,921.5,3179.9,2022-12-24,2023-03-25
GH-00899,Groundnut,Eastern,2.29,16.7,103.2,6.22,1423.8,857.5,2022-03-12,2022-07-03
GH-01715,Plantain,Volta,1.09,45.0,296.5,5.39,1328.1,13188.5,2023-03-19,2023-06-20
GH-01785,Cassava,Upper West,0.58,12.8,131.0,7.07,1124.4,,2023-09-30,2025-03-21
GH-01389,Groundnut,Brong Ahafo,0.76,16.6,170.7,6.32,1228.7,1974.6,2023-02-13,2023-06-10
GH-01122,Cassava,Upper West,1.44,41.8,85.5,4.72,1055.6,18870.4,2023-12-16,2024-09-25
GH-00366,Groundnut,Eastern,1.14,31.8,292.2,6.42,1622.1,884.7,2023-06-18,2023-10-12
GH-01668,Maize,Western,2.34,25.8,58.7,7.28,1944.3,3656.4,2023-06-03,2023-10-16
GH-01938,Plantain,Upper East,1.81,14.9,194.2,5.41,980.7,12729.6,2022-10-15,2023-01-30
GH-01944,Plantain,Northern,2.67,33.1,215.4,6.96,1133.4,14195.6,2022-07-24,2022-10-30
GH-01047,Cassava,Upper East,0.52,29.4,138.9,4.78,,13913.1,2023-01-26,2023-11-18
GH-00031,Yam,Brong Ahafo,0.85,7.4,67.8,5.54,1314.3,11748.3,2023-04-09,2023-12-18
GH-00933,,Volta,0.84,27.5,156.9,5.57,1385.5,2453.2,2022-09-18,2023-01-16
GH-01817,Rice,Volta,0.67,13.5,243.1,4.72,1157.0,3829.6,2022-11-12,2023-04-06
GH-00386,Soybean,Volta,2.18,20.0,,6.82,1224.4,1117.5,2022-01-19,2022-06-09
GH-01535,Cassava,Eastern,0.75,14.0,191.8,5.1,1565.8,14253.2,2023-12-16,2024-11-22
GH-00871,,Upper East,2.24,9.1,258.6,6.66,952.5,11347.4,2023-11-25,2024-07-10
GH-00189,,Eastern,1.68,21.3,150.0,5.86,1584.7,1462.2,2022-10-12,2023-01-20
GH-00198,Cocoa,Upper West,1.88,49.7,222.1,5.57,1101.5,793.0,2022-04-29,2022-12-26
GH-00163,Soybean,Volta,2.57,6.7,,5.75,1018.0,1925.3,2022-10-28,2023-03-08
GH-01696,Soybean,Greater Accra,2.54,48.4,246.1,7.15,1089.9,1424.7,2023-03-31,2023-08-14
GH-01862,Plantain,Northern,2.46,15.4,260.8,6.24,1109.5,11349.5,2022-08-27,2022-11-28
GH-01974,Soybean,Volta,1.13,38.6,288.2,5.25,1263.8,1696.2,2023-10-28,2024-03-08
GH-01942,Soybean,Northern,,7.8,289.0,7.38,1127.4,2161.2,2022-06-15,2022-10-22
GH-00723,Cocoa,Upper East,0.79,26.3,130.2,5.57,1028.0,985.7,2022-09-13,2023-06-13
GH-01283,Maize,Upper West,0.79,7.4,147.2,6.7,941.5,2342.9,2022-09-12,2022-12-16
GH-01824,Cocoa,Northern,3.47,17.1,144.6,6.11,1082.0,845.6,2022-09-08,2023-06-30
GH-00255,Maize,Eastern,3.04,32.9,158.0,6.08,1496.6,3907.3,2023-01-23,2023-06-16
GH-01290,Maize,Volta,1.89,10.9,233.0,5.61,1383.4,1942.9,2022-03-08,2022-07-11
GH-00995,Cocoa,Central,2.95,22.9,286.0,5.84,1480.7,1057.3,2023-03-22,2023-12-13
GH-00736,Cassava,Ashanti,1.66,10.2,97.1,7.22,1766.6,15822.6,2022-11-16,2023-12-19
GH-00174,Cocoa,Northern,3.39,43.6,121.8,7.22,1149.9,1058.4,2022-02-17,2022-10-17
GH-00137,Maize,Central,2.25,37.5,154.2,6.03,1072.7,3554.8,2022-09-20,2023-01-28
GH-00086,Cassava,Volta,2.56,33.3,238.1,7.46,1141.2,13284.3,2022-02-12,2023-07-10
GH-01056,Yam,Volta,2.62,45.2,272.6,7.36,1200.4,16476.2,2022-12-09,2023-09-27
GH-00943,Soybean,Ashanti,1.41,35.0,257.7,4.71,1807.7,1472.9,2023-12-28,2024-03-27
GH-01261,Groundnut,Central,1.19,36.0,152.0,5.95,1282.2,1280.9,2023-03-01,2023-07-01
GH-01526,Cassava,Western,2.85,10.0,219.8,6.55,1994.1,13433.4,2023-07-25,2024-07-28
GH-01214,Plantain,Northern,0.58,36.9,109.8,5.28,1145.0,7730.4,2023-05-08,2023-08-28
